             eV             nm  Absorbance(f)     XX(length)     YY(length)     ZZ(length)      R(length)   XX(velocity)   YY(velocity)   ZZ(velocity)    R(velocity)
         0.3290      3767.9900         0.0000        -0.0061         0.0022         1.7386         0.5782        -3.5010        -3.8421         0.0021        -2.4470
         0.5487      2259.7800         0.0024        92.3959       -31.5680         0.0012        20.2764       -28.9552        57.0973        33.5744        20.5722
         0.5700      2175.2000         0.0006       206.9299        14.1099        -0.0129        73.6756        62.9498        45.5241       103.0178        70.4973
         0.7223      1716.4600         0.0001        -4.0212        -6.1095         0.4976        -3.2110        -1.8081        -1.2963        -6.1083        -3.0709
         0.7269      1705.7500         0.0003        -0.0299        -0.1842        47.3543        15.7134        34.7670        44.0431        -0.0897        26.2401
         0.7640      1622.8200         0.0000         0.1045        -0.0030        22.1306         7.4107         3.5614         3.7756         0.0594         2.4655
         0.8381      1479.4000         0.0004        35.1225       -19.0107        -0.0064         5.3684        -6.5996        20.8667         4.5512         6.2728
         0.8454      1466.5700         0.0030       420.1631        36.7645        -0.0049       152.3076        30.3154       231.9927       286.5280       182.9454
         0.9547      1298.6700         0.0017        -0.0204         0.0031      -250.4664       -83.4946      -163.5637      -157.4117        -0.0035      -106.9930
         1.0170      1219.0600         0.0009         0.0284         0.0006       227.5631        75.8640       139.5955       149.2761        -0.0001        96.2905
         1.0349      1197.9800         0.0003       -78.3068         5.9315         0.0248       -24.1168        -5.3142       -54.6792       -58.3830       -39.4588
         1.0717      1156.9000         0.0000        -0.0041         0.0003         2.5899         0.8620       -33.0433       -29.6378         0.0018       -20.8931
         1.1157      1111.2600         0.0000        19.8823       -11.8678         0.0283         2.6809        -1.4676        21.3190        14.6114        11.4876
         1.1460      1081.9300         0.0004        -0.0587        -0.0142       -67.6110       -22.5613       -60.0421       -27.2598        -0.0345       -29.1121
         1.1542      1074.2000         0.0002       -21.9785         2.0136        -0.1978        -6.7209         4.1097       -15.0895        -6.8109        -5.9302
         1.1948      1037.7100         0.0043       603.3558        -5.0423         0.0076       199.4403        -7.6559       404.7028       391.7690       262.9387
         1.2241      1012.8400         0.0005         0.0319        -0.0027      -404.4317      -134.8008      -200.2631      -192.7887         0.0132      -131.0129
         1.3450       921.7900         0.0025      -144.5954        29.1058        -0.0094       -38.4997        25.4053       -89.9210       -65.4191       -43.3116
         1.4163       875.4000         0.0011       -90.8981        35.3653         0.0095       -18.5078        19.8032       -44.4702       -36.2661       -20.3111
         1.4194       873.5100         0.0026      -272.7967         0.8789         0.0029       -90.6383        -0.3264      -147.0224      -152.3797       -99.9095
         1.4553       851.9700         0.0015       -83.4591        75.6863        -0.0928        -2.6219        36.5305       -51.5055       -20.1267       -11.7006
         1.4797       837.9300         0.0004        18.6791        35.4365         0.0349        18.0502        23.5983         6.1658        37.8063        22.5235
         1.4905       831.8000         0.0000         0.0109         0.2224       -25.1270        -8.2979       -15.4170       -10.9063         0.1453        -8.7260
         1.5702       789.5900         0.0047       -33.8271        -0.9846        -4.5698       -13.1271         0.0551       -21.2329       -22.0322       -14.4033
         1.5743       787.5700         0.0353      -254.1883        -9.1001        -0.9177       -88.0687         7.8930      -148.5160      -167.8394      -102.8208
