wavelength scat1 absorb1 extinct1 scat2 absorb2 extinct2 scat3 absorb3 extinct3 scat4 absorb4 extinct4
400.00000000 0.00196727 0.00916360 0.01113087 0.00196743 0.00931048 0.01127791 0.00285759 0.01028043 0.01313802 0.00284725 0.01023522 0.01308247
400.25017870 0.00196381 0.00915746 0.01112126 0.00196397 0.00930427 0.01126824 0.00285260 0.01027644 0.01312904 0.00284229 0.01023118 0.01307347
400.50035740 0.00196035 0.00915132 0.01111167 0.00196052 0.00929805 0.01125858 0.00284763 0.01027245 0.01312008 0.00283733 0.01022715 0.01306448
400.75053610 0.00195690 0.00914520 0.01110209 0.00195708 0.00929185 0.01124893 0.00284266 0.01026846 0.01311112 0.00283238 0.01022311 0.01305549
401.00071480 0.00195345 0.00913908 0.01109253 0.00195365 0.00928565 0.01123930 0.00283770 0.01026447 0.01310217 0.00282744 0.01021908 0.01304652
401.25089350 0.00195001 0.00913297 0.01108298 0.00195022 0.00927947 0.01122969 0.00283275 0.01026047 0.01309323 0.00282250 0.01021504 0.01303755
401.50107219 0.00194658 0.00912687 0.01107345 0.00194680 0.00927329 0.01122009 0.00282781 0.01025648 0.01308429 0.00281758 0.01021101 0.01302859
401.75125089 0.00194316 0.00912078 0.01106393 0.00194338 0.00926712 0.01121050 0.00282288 0.01025249 0.01307536 0.00281266 0.01020697 0.01301963
402.00142959 0.00193974 0.00911469 0.01105443 0.00193997 0.00926096 0.01120093 0.00281795 0.01024849 0.01306644 0.00280776 0.01020293 0.01301069
402.25160829 0.00193633 0.00910862 0.01104495 0.00193657 0.00925480 0.01119137 0.00281304 0.01024450 0.01305753 0.00280286 0.01019889 0.01300175
402.50178699 0.00193293 0.00910255 0.01103547 0.00193318 0.00924865 0.01118183 0.00280813 0.01024050 0.01304863 0.00279797 0.01019485 0.01299282
402.75196569 0.00192953 0.00909649 0.01102602 0.00192979 0.00924252 0.01117230 0.00280323 0.01023650 0.01303973 0.00279309 0.01019081 0.01298390
403.00214439 0.00192614 0.00909043 0.01101657 0.00192641 0.00923638 0.01116279 0.00279834 0.01023251 0.01303084 0.00278821 0.01018678 0.01297499
403.25232309 0.00192276 0.00908439 0.01100715 0.00192303 0.00923026 0.01115330 0.00279346 0.01022851 0.01302196 0.00278335 0.01018274 0.01296608
403.50250179 0.00191938 0.00907835 0.01099773 0.00191967 0.00922415 0.01114381 0.00278858 0.01022451 0.01301309 0.00277849 0.01017870 0.01295719
403.75268049 0.00191601 0.00907233 0.01098834 0.00191630 0.00921804 0.01113435 0.00278372 0.01022051 0.01300423 0.00277364 0.01017465 0.01294830
404.00285919 0.00191265 0.00906631 0.01097895 0.00191295 0.00921194 0.01112489 0.00277886 0.01021651 0.01299537 0.00276881 0.01017061 0.01293942
404.25303788 0.00190929 0.00906030 0.01096959 0.00190960 0.00920585 0.01111545 0.00277401 0.01021251 0.01298652 0.00276397 0.01016657 0.01293055
404.50321658 0.00190594 0.00905429 0.01096023 0.00190626 0.00919977 0.01110603 0.00276917 0.01020851 0.01297768 0.00275915 0.01016253 0.01292168
404.75339528 0.00190260 0.00904830 0.01095089 0.00190293 0.00919369 0.01109662 0.00276434 0.01020450 0.01296885 0.00275434 0.01015849 0.01291283
405.00357398 0.00189926 0.00904231 0.01094157 0.00189960 0.00918763 0.01108722 0.00275952 0.01020050 0.01296002 0.00274953 0.01015445 0.01290398
405.25375268 0.00189593 0.00903633 0.01093226 0.00189628 0.00918157 0.01107784 0.00275470 0.01019650 0.01295120 0.00274474 0.01015040 0.01289514
405.50393138 0.00189261 0.00903036 0.01092296 0.00189296 0.00917552 0.01106848 0.00274990 0.01019249 0.01294239 0.00273995 0.01014636 0.01288631
405.75411008 0.00188929 0.00902439 0.01091368 0.00188965 0.00916947 0.01105913 0.00274510 0.01018849 0.01293359 0.00273517 0.01014232 0.01287748
406.00428878 0.00188598 0.00901844 0.01090442 0.00188635 0.00916344 0.01104979 0.00274031 0.01018448 0.01292480 0.00273039 0.01013827 0.01286867
406.25446748 0.00188268 0.00901249 0.01089517 0.00188306 0.00915741 0.01104047 0.00273553 0.01018048 0.01291601 0.00272563 0.01013423 0.01285986
406.50464618 0.00187938 0.00900655 0.01088593 0.00187977 0.00915139 0.01103116 0.00273076 0.01017647 0.01290723 0.00272088 0.01013019 0.01285106
406.75482487 0.00187609 0.00900062 0.01087671 0.00187648 0.00914538 0.01102186 0.00272599 0.01017247 0.01289846 0.00271613 0.01012614 0.01284227
